Points,Name,Position
147,Justin Abdelkader,LW/RW/C
121,Karl Alzner,D
22,Joakim Andersson,C
52,Andy Andreoff,LW/C
60,Sven Andrighetto,RW/LW
90,Artem Anisimov,C
45,Joel Armia,RW
61,Viktor Arvidsson,LW/RW
42,Andreas Athanasiou,C/LW
128,Cam Atkinson,RW
161,David Backes,C/RW
108,Mikael Backlund,C
129,Nicklas Backstrom,C
76,Sven Baertschi,LW/RW
73,Josh Bailey,RW/LW
24,Mark Barberio,D
132,Aleksander Barkov,C
102,Tyson Barrie,D
68,Matt Bartkowski,D
67,Jay Beagle,RW/C
141,Francois Beauchemin,D
69,Nathan Beaulieu,D
119,Matt Beleskey,LW
58,Pierre-Edouard Bellemare,LW/C
196,Jamie Benn,LW
68,Jordie Benn,D
43,Beau Bennett,RW/LW
97,Sam Bennett,C
190,Patrice Bergeron,C
54,Patrik Berglund,C
24,Bryan Bickell,LW
53,Alex Biega,D
83,Kevin Bieksa,D
19,Chris Bigras,D
39,Anthony Bitetto,D
99,Nick Bjugstad,C
41,Joseph Blandisi,LW/RW/C
25,Andrew Bodnarchuk,D
99,Mikkel Boedker,LW/RW
89,Zach Bogosian,D
26,Jared Boll,RW
20,Dave Bolland,C
47,Brandon Bollig,LW
75,Nick Bonino,C/LW
92,Mark Borowiecki,D
44,Robert Bortuzzo,D
49,Reid Boucher,LW/RW
53,Lance Bouma,C
43,Rene Bourque,RW/LW
71,Jay Bouwmeester,D
106,Johnny Boychuk,D
48,Brad Boyes,RW
84,Brian Boyle,C/LW
84,Dan Boyle,D
86,Tyler Bozak,C
131,Derick Brassard,C
91,Justin Braun,D
83,TJ Brodie,D
49,Jonas Brodin,D
43,Kyle Brodziak,C
128,Troy Brouwer,RW
109,Dustin Brown,RW/LW
77,J.T. Brown,RW/LW
58,Mike Brown,RW/LW
77,Andre Burakovsky,LW/C
58,Alexander Burmistrov,C/RW
162,Brent Burns,D/RW
72,Alexandre Burrows,RW/LW
152,Dustin Byfuglien,D
66,Paul Byron,LW/C
103,Ryan Callahan,RW
79,Matt Calvert,LW
74,Michael Cammalleri,LW/C
71,Brian Campbell,D
53,Gregory Campbell,C/LW
48,Matthew Carle,D
93,John Carlson,D
124,Jeff Carter,C/RW
58,Ryan Carter,LW/C
94,Cody Ceci,D
114,Zdeno Chara,D
69,Ben Chiarot,D
62,Alex Chiasson,RW
103,Jason Chimera,LW
41,Kyle Chipchura,C
35,Taylor Chorney,D
93,Casey Cizikas,C
27,Adam Clendening,D
45,Kyle Clifford,LW
112,Cal Clutterbuck,RW
62,Braydon Coburn,D
